Stars,Year of Release,Price,Screen Size,System Memory (RAM),Brand_Group_Apple,Brand_Group_Gaming,Brand_Group_Mainstream,Operating System_chrome,Operating System_mac,Operating System_windows,Backlit Keyboard_No,Backlit Keyboard_Yes
4.3,2022.0,2099.99,15.6,16.0,0,1,0,0,0,1,0,1
3.0,2022.0,1799.99,15.6,16.0,0,1,0,0,0,1,0,1
4.5,2022.0,480.99,17.3,8.0,0,0,1,0,0,1,1,0
5.0,2022.0,659.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2023.0,4499.99,18.0,32.0,0,1,0,0,0,1,0,1
4.5,2023.0,279.0,12.2,4.0,0,0,1,1,0,0,1,0
4.4,2022.0,899.99,15.6,8.0,0,0,1,0,0,1,0,1
4.3,2018.0,399.99,14.0,8.0,0,0,1,0,0,1,1,0
4.8,2020.0,674.99,13.3,8.0,1,0,0,0,1,0,0,1
5.0,2023.0,2149.99,16.0,32.0,0,0,1,0,0,1,0,1
4.8,2021.0,2602.99,16.2,32.0,1,0,0,0,1,0,0,1
4.7,2022.0,709.99,15.6,8.0,0,0,1,0,0,1,0,1
4.0,2020.0,298.85,14.0,8.0,0,0,1,0,0,1,0,1
4.8,2021.0,367.99,15.6,8.0,0,0,1,0,0,1,0,1
5.0,2019.0,410.99,14.0,8.0,0,0,1,0,0,1,0,1
3.9,2022.0,499.99,14.0,8.0,0,0,1,1,0,0,0,1
3.5,2022.0,799.99,16.0,16.0,0,0,1,0,0,1,0,1
4.4,2022.0,1949.99,16.0,16.0,0,0,1,0,0,1,0,1
3.9,2022.0,1699.99,13.4,32.0,0,0,1,0,0,1,0,1
4.0,2022.0,3099.99,17.3,32.0,0,1,0,0,0,1,0,1
4.0,2023.0,1449.99,16.0,16.0,0,0,1,0,0,1,0,1
4.1,2020.0,468.99,14.0,16.0,0,0,1,0,0,1,0,1
5.0,2023.0,949.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,545.99,17.3,8.0,0,0,1,0,0,1,1,0
4.8,2020.0,674.99,13.3,8.0,1,0,0,0,1,0,0,1
4.7,2022.0,599.99,16.0,8.0,0,0,1,0,0,1,0,1
5.0,2023.0,1149.99,15.4,16.0,1,0,0,0,1,0,0,1
5.0,2023.0,2999.99,16.0,16.0,0,1,0,0,0,1,0,1
5.0,2019.0,849.99,13.3,8.0,1,0,0,0,1,0,0,1
4.3,2022.0,2099.99,15.6,16.0,0,1,0,0,0,1,0,1
3.0,2018.0,494.25,14.0,32.0,0,0,1,0,0,1,1,0
5.0,2022.0,769.99,13.3,8.0,0,0,1,0,0,1,0,1
4.5,2022.0,663.99,14.0,8.0,0,0,1,0,0,1,0,1
4.4,2021.0,401.99,15.6,8.0,0,0,1,0,0,1,1,0
5.0,2022.0,1349.99,17.3,16.0,0,1,0,0,0,1,0,1
4.3,2021.0,1259.99,13.4,16.0,0,1,0,0,0,1,0,1
4.6,2022.0,1000.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1479.99,16.1,16.0,0,1,0,0,0,1,0,1
4.4,2022.0,125.99,14.0,4.0,0,0,1,0,0,1,1,0
4.5,2022.0,674.99,15.6,8.0,0,0,1,0,0,1,1,0
3.4,2022.0,1499.99,16.0,16.0,0,1,0,0,0,1,0,1
3.5,2020.0,849.99,15.0,16.0,1,0,0,0,1,0,0,1
3.5,2022.0,1999.99,15.6,16.0,0,1,0,0,0,1,0,1
4.1,2020.0,999.0,13.3,8.0,0,0,1,1,0,0,0,1
4.4,2022.0,2699.99,15.6,16.0,0,1,0,0,0,1,0,1
4.7,2022.0,1699.99,16.1,16.0,0,1,0,0,0,1,0,1
4.5,2022.0,250.99,15.6,8.0,0,0,1,0,0,1,1,0
4.6,2022.0,1649.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,1799.99,17.0,16.0,0,0,1,0,0,1,0,1
4.5,2021.0,431.99,15.6,8.0,0,0,1,0,0,1,1,0
5.0,2022.0,469.99,17.3,4.0,0,0,1,0,0,1,1,0
4.2,2020.0,1149.99,13.3,16.0,1,0,0,0,1,0,0,1
4.6,2021.0,929.99,12.3,8.0,0,0,1,0,0,1,0,1
4.2,2018.0,569.99,13.3,8.0,1,0,0,0,1,0,0,1
4.6,2022.0,1649.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2021.0,1199.99,17.3,16.0,0,1,0,0,0,1,0,1
3.0,2023.0,899.99,15.6,8.0,0,0,1,0,0,1,0,1
4.9,2021.0,379.99,14.0,16.0,0,0,1,0,0,1,0,1
3.2,2018.0,539.99,13.3,8.0,1,0,0,0,1,0,0,1
4.7,2022.0,909.99,15.6,16.0,0,0,1,0,0,1,0,1
1.0,2019.0,1399.99,15.4,16.0,1,0,0,0,1,0,0,1
3.6,2022.0,1472.99,16.0,16.0,0,0,1,0,0,1,0,1
5.0,2022.0,974.99,15.6,16.0,0,0,1,0,0,1,1,0
4.8,2020.0,829.99,13.3,8.0,1,0,0,0,1,0,0,1
4.7,2022.0,1999.99,14.0,16.0,0,1,0,0,0,1,0,1
4.4,2022.0,909.99,15.6,16.0,0,0,1,0,0,1,0,1
4.7,2022.0,1299.99,13.5,8.0,0,0,1,0,0,1,0,1
4.4,2019.0,1199.99,16.0,16.0,1,0,0,0,1,0,0,1
3.0,2022.0,1399.99,16.0,16.0,0,1,0,0,0,1,0,1
4.7,2023.0,1368.99,14.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,1699.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,1519.99,17.3,16.0,0,1,0,0,0,1,0,1
3.3,2022.0,909.99,15.6,16.0,0,0,1,0,0,1,1,0
4.4,2019.0,1199.99,16.0,16.0,1,0,0,0,1,0,0,1
3.7,2019.0,415.99,13.3,8.0,0,0,1,0,0,1,0,1
3.7,2019.0,609.99,14.0,32.0,0,0,1,0,0,1,0,1
3.7,2018.0,999.99,15.4,16.0,1,0,0,0,1,0,0,1
3.4,2023.0,3599.99,16.0,32.0,0,1,0,0,0,1,0,1
3.0,2019.0,1099.99,15.4,16.0,1,0,0,0,1,0,0,1
4.0,2018.0,649.99,13.3,8.0,1,0,0,0,1,0,0,1
4.5,2022.0,2099.99,17.0,16.0,0,0,1,0,0,1,0,1
